stride_id,sensor,t_start,t_end,dt_stride_s,dt_stance_s,dt_swing_s,stance_pct,cadence_step_min,theta_range_rad,theta_range_deg,theta_swing_max_deg,stride_length_m,step_height_m,step_height_cm,stride_vel_kin_ms,cumul_distance_m,step_order
14,Mov2,20.051929220939442,21.250093880561007,1.1981646596215647,0.3069678053575906,0.8911968542639741,25.61983471074377,50.07658965584142,0.33717424874056623,19.31866141332866,19.318470457194856,1.7612153401040995,0.025337540464862685,2.5337540464862687,1.469927631366103,23.957075840138813,27
14,Mov,20.668654663667528,21.404660415105443,0.736005751437915,0.3528794698674922,0.38312628157042283,47.94520547945188,81.52110208755785,0.30575632948389675,17.5185472388387,17.518038063071018,2.6021658335115445,0.020869994606951325,2.0869994606951323,3.535523776040828,25.258158756894584,28
15,Mov2,21.250093880561007,22.428454165643377,1.1783602850823698,0.3861853035143916,0.7921749815679782,32.77310924369761,50.91821301140158,0.30960226271308133,17.738902981160095,17.738716190057858,1.6455984065215632,0.021394880533158207,2.1394880533158207,1.3965155032414662,26.080957960155366,29
15,Mov,21.404660415105443,22.594368342087282,1.1897079269818391,0.8065816454114163,0.38312628157042283,67.79661016949152,50.432546206709354,0.34946816297689387,20.02305081276603,20.022586138037713,1.83775990864946,0.02719902483419568,2.719902483419568,1.5447151918300308,26.999837914480096,30
16,Mov2,22.428454165643377,23.63652101253454,1.208066846891164,0.35647874170559035,0.8515881051855736,29.508196721311556,49.66612580620339,0.3336859298576681,19.118795463742806,19.118413996257964,1.7288763034274706,0.024820334784626804,2.4820334784626805,1.4311097998232103,27.86427606619383,31
16,Mov,22.594368342087282,24.288189797451253,1.6938214553639703,0.8368284571143434,0.8569929982496269,49.40476190476196,35.42285983566499,0.3615265974671218,20.713948216591078,20.713525339056954,1.3348690542670285,0.029087746697429695,2.9087746697429697,0.7880813234711271,28.531710593327347,32
17,Mov2,23.63652101253454,24.82478348488651,1.188262472351969,0.3465765544359911,0.8416859179159779,29.16666666666668,50.49389456963993,0.3396445767875089,19.46020078443127,19.459848712300577,1.7887784600290646,0.025706168022175614,2.5706168022175615,1.505373182819174,29.42609982334188,33
17,Mov,24.288189797451253,25.004031007753884,0.7158412103026315,0.3327149287322122,0.3831262815704193,46.478873239437064,83.8174711604466,0.32206194184174763,18.452790009319916,18.452307564484485,2.816941860061696,0.023135648456899312,2.3135648456899314,3.9351490519395997,30.834570753372727,34
18,Mov2,24.82478348488651,26.013045957238475,1.1882624723519655,0.37628311624478883,0.8119793561071766,31.666666666666647,50.49389456964008,0.32804315603969814,18.795488339226203,18.79513903875154,1.72823694766256,0.02399553105344724,2.399553105344724,1.4544235704438313,31.698689227204007,35
18,Mov,25.004031007753884,26.647441110279644,1.6434101025257597,0.7864171042761328,0.8569929982496269,47.852760736196466,36.509450628169986,0.3351079429221313,19.20027081074901,19.199931205390993,1.2762581280747503,0.02503045570297721,2.5030455702977212,0.776591385262429,32.33681829124138,36
19,Mov2,26.013045957238475,27.201308429590444,1.188262472351969,0.3465765544359911,0.8416859179159779,29.16666666666668,50.49389456963993,0.3520861259917156,20.173049044436663,20.172807954797584,1.8536372069284337,0.027604443427824393,2.7604443427824394,1.559956028283436,33.2636368947056,37
19,Mov,26.647441110279644,27.82706676669384,1.1796256564141956,0.32263265816456865,0.8569929982496269,27.350427350427548,50.86359361018554,0.3420948877036183,19.60059325841917,19.600261438196576,1.8147480609657414,0.026074835043167818,2.607483504316782,1.538410131297228,34.17101092518847,38
